1,471893
1,461847
1,328795
1,2722
1,237264
1,129018
1,329645
1,336632
1,27341
1,310269
2,360485
2,347387
2,253587
2,12807
2,389103
2,297808
2,418632
2,127923
2,427690
2,224305
3,412243
3,129126
3,136402
3,214775
3,75344
3,230648
3,12952
3,393818
3,240492
3,1708
4,377145
4,288508
4,215320
4,368176
4,408320
4,282477
4,200717
4,492275
4,385734
4,79389
5,36139
5,423078
5,91068
5,90964
5,309488
5,493476
5,121784
5,194601
5,85185
5,263653
6,132518
6,353204
6,85102
6,248947
6,153297
6,189568
6,342088
6,177258
6,290272
6,246374
7,341340
7,79653
7,108290
7,306758
7,369099
7,427821
7,400464
7,275300
7,227925
7,144307
8,405570
8,403438
8,415854
8,397047
8,323435
8,405492
8,325841
8,401711
8,201892
8,362404
9,102770
9,256318
9,95059
9,14015
9,382221
9,48934
9,359521
9,99688
9,37435
9,258409
10,89072
10,297761
10,223063
10,142478
10,294810
10,391119
10,169545
10,481931
10,450109
10,15092
11,275918
11,327705
11,139959
11,106155
11,165171
11,155218
11,386997
11,17238
11,129727
11,49893
12,250938
12,253299
12,347188
12,364960
12,391903
12,122226
12,114046
12,356707
12,392336
12,267626
13,481938
13,412373
13,445236
13,164486
13,79603
13,38966
13,54200
13,148453
13,62246
13,9026
14,52967
14,482219
14,60901
14,97295
14,327423
14,431472
14,499815
14,89193
14,424510
14,171256
15,53396
15,14387
15,442250
15,254878
15,12299
15,206700
15,184067
15,449456
15,156247
15,231301
16,162017
16,291763
16,368222
16,353271
16,241652
16,323366
16,433916
16,123513
16,404469
16,489931
17,429186
17,419231
17,190614
17,362324
17,442493
17,304484
17,80311
17,76700
17,488744
17,476354
18,426872
18,96953
18,19726
18,179059
18,223887
18,13449
18,350565
18,289586
18,273288
18,476728
19,50831
19,5887
19,420615
19,461914
19,342368
19,98120
19,241846
19,277203
19,299687
19,51054
20,209544
20,200927
20,197720
20,321428
20,311161
20,401396
20,242271
20,367237
20,306196
20,475066
21,389777
21,229100
21,367532
21,325730
21,250951
21,73600
21,218008
21,147218
21,26676
21,131267
22,203340
